,cause,effect,word
10104,marines,"an enduring commitment to the corps when they earn the title , marine",make
10105,they,run out of time,because
10106,went for a diploma in public health,your beat,because
10107,this reform people,to strive to get better education,making
10108,every organisation,provision for a creche for career mothers to keep there babies so that the mothers,make
10109,it 's,of afghanistan,because
10110,maybe with our method of work [ and ],we have engaged the police before,because
10111,by criminal activity,the court 's ruling that all spill cases,caused
10112,the war-torn country of mali has undergone intense turmoil over the last year hundreds,of thousands to leave,forcing
10113,the rains from the main catchment areas of aberdares mountains and mount kenya,water inflow through the river,sending
10114,his administration,frantic efforts to bring back the lost glory of the state,making
10115,i do not need to campaign for ahmad harun,he is already known to you,because
10116,by excessive speed,the accidents,caused
10117,it 's difficult to afford public transport,of the wage we earn,because
10118,it,back to square one,sending
10119,numerous kingdoms,their mark on history,left
10120,`` it 's a good place,we,because
10121,the hands of the teams people,expect that rival teams,because
10122,otieno said customs and excise department,anybody to dissolve a dully registered association,force
10123,"after seeing several members of the 22nd sas regiment being from the unk hinterland by helicopter he resolved to join them , training hard in the suffocating heat",back,brought
10124,he,her laugh every day and lived up to his promise,make
10125,their entire savings them,"lose dignity , as circumstances exploit their desperation",making
10126,unk areas,the gravest effects of climate change through sudden human migration,cause
10127,responding to climate change,taking action,means
10128,with banks could keep people from being paid,in civil unrest,resulting
10129,of the countries,"the corps concern , madagascar , belize",causing
10130,them,to a hotel in the capital,bringing
10131,afghan groups,an end to the fighting,put
10132,heads of state of the three partner states,their signatures to it,put
10133,"unk international , also a faith-based ngo",on board over 200 licensed medical practitioners including doctors and very rare surgeons from different parts of the country,brought
10134,president obama and secretary clinton it,my mission to remake usaid into the world 's premier development agency,made
10135,enabling every employee,those kinds of judgments,make
10136,us,so that we 're more aligned with their basic strategic approach,make
10137,to our nation 's development agency,president kennedy announced the creation of usaid almost 50 years ago,since
10138,as much leverage as we can from every investment,we,make
10139,those types of partnerships,"different skills to the table , different types of resources to the table",bring
10140,it,into a formal dairy system,putting
10141,we invest in civil society and organizations like transparency international funds,flow more transparent so people,make
10142,we,that we build accountability into everything we unk : this morning the administration announced eight global health initiative countries,make
10143,"long term , sustainable and one day prosperous haiti",of this tragic event,result
10144,the next decade,huge reductions,make
10145,the successful,of collaboration and teamwork,results
10146,cross,the gradual return to peace and stability,bring
